City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Leh,34.1667,77.5833,49.21,51,2,4.0,IN,2022-09-28 00:47:06
154,Celestun,20.8667,-90.4,80.6,81,3,13.35,MX,2022-09-28 00:47:12
155,Dikson,73.5069,80.5464,31.84,71,78,6.38,RU,2022-09-28 00:47:17
156,Yen Bai,21.7,104.8667,77.02,88,100,5.84,VN,2022-09-28 00:47:23
157,Bosaso,11.2842,49.1816,86.36,50,9,2.13,SO,2022-09-28 00:47:28
158,Mersing,2.4312,103.8405,75.11,100,40,3.44,MY,2022-09-28 00:47:33
159,Huilong,31.8111,121.655,70.93,79,100,6.38,CN,2022-09-28 00:47:39
160,Yellowknife,62.456,-114.3525,70.32,46,75,10.36,CA,2022-09-28 00:44:45
161,Dalbandin,28.8947,64.4101,72.09,21,0,5.73,PK,2022-09-28 00:47:49
162,Roma,43.2128,-75.4557,54.37,96,100,1.01,US,2022-09-28 00:45:41
163,Manzanillo,20.3433,-77.1167,79.41,81,38,6.46,CU,2022-09-28 00:48:00
164,Novocheremshansk,54.3571,50.1666,46.71,85,100,9.8,RU,2022-09-28 00:48:05
165,Chimbote,-9.0853,-78.5783,61.03,84,9,8.7,PE,2022-09-28 00:48:10
166,Dunedin,-45.8742,170.5036,57.79,77,57,3.0,NZ,2022-09-28 00:43:39
167,Puerto Leguizamo,-0.1934,-74.7819,77.83,72,79,0.94,CO,2022-09-28 00:48:26
168,Port Moresby,-9.4431,147.1797,85.42,70,40,11.5,PG,2022-09-28 00:48:31
169,Gouloure,12.2306,-1.9289,74.93,77,84,5.39,BF,2022-09-28 00:48:37
170,Mantsala,60.6609,25.2838,43.52,92,6,5.14,FI,2022-09-28 00:48:47
171,Mount Isa,-20.7333,139.5,65.97,94,40,8.05,AU,2022-09-28 00:48:52
172,Pevek,69.7008,170.3133,29.41,74,92,6.22,RU,2022-09-28 00:48:58
173,Geraldton,-28.7667,114.6,64.81,63,0,6.91,AU,2022-09-28 00:49:03
174,Rapallo,44.3511,9.2297,65.48,84,100,5.01,IT,2022-09-28 00:49:09
175,Hinesville,31.8469,-81.5959,73.36,79,75,0.0,US,2022-09-28 00:46:14
176,Bluff,-46.6,168.3333,55.54,77,57,3.38,NZ,2022-09-28 00:49:19
177,Hami,42.8,93.45,67.17,33,0,16.82,CN,2022-09-28 00:49:30
178,Marshall,34.3834,-86.3333,64.38,55,0,0.0,US,2022-09-28 00:46:20
179,Pakokku,21.3333,95.1,80.73,82,2,3.33,MM,2022-09-28 00:49:40
180,Haverfordwest,51.8017,-4.9691,53.19,84,75,1.99,GB,2022-09-28 00:49:46
181,Hithadhoo,-0.6,73.0833,77.13,87,100,13.69,MV,2022-09-28 00:49:51
182,Muisne,0.6,-80.0333,73.69,85,100,7.94,EC,2022-09-28 00:49:56
183,Chokurdakh,70.6333,147.9167,27.88,64,34,9.13,RU,2022-09-28 00:50:02
184,Praia Da Vitoria,38.7333,-27.0667,68.76,88,40,18.54,PT,2022-09-28 00:52:07
185,Sao Joao Da Barra,-21.6403,-41.0511,73.49,95,98,9.64,BR,2022-09-28 00:50:25
