City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Kondinskoye,RU,59.6481,67.41,46.56,94,100,11.1,overcast clouds
241,Panambi,BR,-28.2925,-53.5017,58.3,74,0,7.18,clear sky
242,Buraydah,SA,26.326,43.975,78.55,14,5,7.52,clear sky
243,Yanam,IN,16.7333,82.2167,76.69,95,100,1.61,overcast clouds
244,Pizarro,CO,4.9533,-77.366,80.74,80,97,7.65,overcast clouds
245,Krasnoarmeysk,RU,51.0239,45.6969,54.23,96,100,8.59,light rain
246,Tuatapere,NZ,-46.1333,167.6833,49.6,67,99,8.63,overcast clouds
247,Kamenka,RU,51.3223,42.7678,50.7,74,47,9.84,scattered clouds
248,Tabuk,PH,17.4189,121.4443,73.29,94,71,1.95,broken clouds
249,Oranjestad,AW,12.524,-70.027,83.86,80,5,19.64,clear sky
250,Bambous Virieux,MU,-20.3428,57.7575,70.21,74,7,11.77,clear sky
251,Maragogi,BR,-9.0122,-35.2225,74.46,76,4,8.19,clear sky
252,Mulege,MX,26.8833,-111.9833,87.26,36,0,9.1,clear sky
253,Stonewall,CA,50.1344,-97.3268,68.02,42,64,2.35,broken clouds
254,Yulara,AU,-25.2406,130.9889,61.07,71,59,9.42,broken clouds
255,Saint Anthony,US,45.0205,-93.218,76.12,43,0,12.66,clear sky
256,Faya,SA,18.3851,42.4509,61.32,56,24,3.0,few clouds
257,Chokwe,MZ,-24.5333,32.9833,80.44,51,0,11.1,clear sky
258,Batemans Bay,AU,-35.7167,150.1833,57.09,63,88,2.82,overcast clouds
259,Charcas,MX,23.1333,-101.1167,65.53,32,100,10.67,overcast clouds
260,Luderitz,NA,-26.6481,15.1594,59.49,76,1,18.9,clear sky
261,Korla,CN,41.7597,86.1469,49.32,25,16,10.38,few clouds
262,Huanren,CN,41.2647,125.3667,37.56,89,26,7.23,scattered clouds
263,Kavieng,PG,-2.5744,150.7967,83.7,70,98,10.78,overcast clouds
264,Aberdeen,GB,57.1437,-2.0981,58.5,89,100,10.36,overcast clouds
265,Blagoyevo,RU,63.3667,47.9167,42.39,94,100,7.65,light rain
266,Namatanai,PG,-3.6667,152.4333,83.1,68,100,6.08,overcast clouds
267,Mbandaka,CD,0.0487,18.2603,70.07,97,100,1.88,overcast clouds
268,Sandy Point,AU,-38.8167,146.1,52.74,69,97,6.4,overcast clouds
269,North Bend,US,43.4065,-124.2243,64.92,94,100,5.75,overcast clouds
270,Guerrero Negro,MX,27.9769,-114.0611,73.06,70,74,16.69,broken clouds
271,Cairns,AU,-16.9167,145.7667,77.07,87,100,1.14,overcast clouds
272,Moranbah,AU,-22.0016,148.0466,70.02,63,4,18.86,clear sky
273,Chifeng,CN,42.2683,118.9636,32.58,39,0,11.77,clear sky
274,Pervomayskoye,RU,43.919,46.7102,61.52,71,49,4.56,scattered clouds
275,Norman Wells,CA,65.282,-126.8329,39.65,70,100,2.53,overcast clouds
276,Chojnow,PL,51.2737,15.9366,49.42,92,26,11.23,scattered clouds
277,Tura,IN,25.5198,90.2201,72.46,97,100,2.89,overcast clouds
278,Urumqi,CN,43.801,87.6005,38.35,52,0,4.47,clear sky
279,Pangnirtung,CA,66.1451,-65.7125,35.71,52,100,7.65,overcast clouds
280,Ivanteyevka,RU,55.9711,37.9208,52.34,83,98,18.7,overcast clouds
281,Mandiana,GN,10.6333,-8.6833,74.68,89,79,2.77,broken clouds
282,Dudinka,RU,69.4058,86.1778,34.63,93,100,25.5,light snow
283,Pokhara,NP,28.2333,83.9833,68.04,71,50,5.28,scattered clouds
284,Hameenlinna,FI,60.996,24.4643,44.15,89,100,10.07,overcast clouds
285,Carnarvon,AU,-24.8667,113.6333,64.29,54,0,11.1,clear sky
286,Tyrma,RU,50.0833,132.1667,26.49,74,8,8.95,clear sky
287,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,2.3,broken clouds
288,Krasnoselkup,RU,65.7,82.4667,35.85,80,100,22.75,light rain
289,Mosjoen,NO,65.836,13.1908,48.67,93,75,0.0,broken clouds
290,San Patricio,US,28.017,-97.5169,85.95,29,100,6.29,overcast clouds
291,Auki,SB,-8.7676,160.7034,82.15,74,93,4.09,overcast clouds
292,Humboldt,US,40.6665,-123.9178,77.67,49,5,6.42,clear sky
293,Dong Hoi,VN,17.4833,106.6,78.84,85,31,5.44,scattered clouds
294,Whitehorse,CA,60.7161,-135.0538,51.03,60,100,11.99,overcast clouds
295,Caravelas,BR,-17.7125,-39.2481,75.92,81,29,11.74,scattered clouds
296,Alice Springs,AU,-23.7,133.8833,65.75,94,40,5.75,scattered clouds
297,Cockburn Town,TC,21.4612,-71.1419,83.62,67,98,2.55,overcast clouds
298,Laguna,US,38.421,-121.4238,89.35,40,0,8.05,clear sky
299,Dehui,CN,44.5333,125.7,32.43,62,4,10.51,clear sky
300,Stavelot,BE,50.393,5.9343,50.56,94,72,3.78,broken clouds
301,Huambo,AO,-12.7761,15.7392,65.26,60,54,1.19,broken clouds
302,Da Nang,VN,16.0678,108.2208,76.98,94,75,5.75,broken clouds
303,Morant Bay,JM,17.8815,-76.4093,85.62,84,100,4.85,overcast clouds
304,Faanui,PF,-16.4833,-151.75,78.66,75,4,15.03,clear sky
305,Haines Junction,CA,60.7522,-137.5108,42.85,94,99,3.78,overcast clouds
306,Sinnamary,GF,5.3833,-52.95,80.28,82,77,10.33,moderate rain
307,Soderhamn,SE,61.3037,17.0592,42.96,87,10,6.15,clear sky
308,Codrington,AU,-38.2667,141.9667,53.02,81,96,12.95,overcast clouds
309,Banda Aceh,ID,5.5577,95.3222,77.79,85,100,14.94,overcast clouds
310,Taunggyi,MM,20.7833,97.0333,60.13,96,79,1.9,broken clouds
311,Opuwo,NA,-18.0607,13.84,72.32,32,67,5.61,broken clouds
312,Santa Cruz,BO,-17.8,-63.1667,86.05,39,20,4.61,few clouds
313,Cabinda,AO,-5.55,12.2,75.83,87,99,6.82,overcast clouds
314,Yar-Sale,RU,66.8333,70.8333,38.75,88,100,15.37,overcast clouds
315,Alofi,NU,-19.0595,-169.9187,80.49,74,75,12.66,broken clouds
316,Shingu,JP,33.7333,135.9833,71.11,80,56,3.27,broken clouds
317,Khanpur,PK,28.6453,70.6567,81.97,38,0,9.62,clear sky
318,Paamiut,GL,61.994,-49.6678,37.24,68,1,14.14,clear sky
319,Tumut,AU,-35.3,148.2167,56.34,73,96,1.14,overcast clouds
320,Kieta,PG,-6.2167,155.6333,82.15,78,100,4.76,overcast clouds
321,Turukhansk,RU,65.8167,87.9833,30.24,80,74,18.03,broken clouds
322,Charlestown,AU,-32.95,151.6667,61.11,78,69,3.0,broken clouds
323,Murupara,NZ,-38.4667,176.7,59.67,37,4,1.07,clear sky
324,Asau,RO,46.4333,26.4,52.72,81,63,5.03,broken clouds
325,Eureka,US,40.8021,-124.1637,86.74,77,8,5.01,clear sky
326,Ilulissat,GL,69.2167,-51.1,32.02,74,100,6.91,overcast clouds
327,Xining,CN,36.6167,101.7667,40.24,56,96,2.01,overcast clouds
328,Swan River,CA,52.1058,-101.2676,63.64,39,80,11.74,broken clouds
329,Pisco,PE,-13.7,-76.2167,62.65,82,20,17.27,few clouds
330,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.71,76,5,8.28,clear sky
331,Coquimbo,CL,-29.9533,-71.3436,56.93,76,75,9.22,broken clouds
332,Aqtobe,KZ,50.2797,57.2072,35.69,44,0,2.24,clear sky
333,Noumea,NC,-22.2763,166.4572,75.99,99,51,10.04,broken clouds
334,Sunyani,GH,7.3399,-2.3268,72.1,97,29,2.95,scattered clouds
335,Monrovia,LR,6.3005,-10.7969,75.13,91,40,4.5,scattered clouds
336,Angoche,MZ,-16.2325,39.9086,72.75,86,0,7.87,clear sky
337,Iralaya,HN,15.0,-83.2333,75.78,93,100,11.07,overcast clouds
338,Viile Satu Mare,RO,47.6667,22.95,49.55,87,20,8.05,few clouds
339,Buala,SB,-8.145,159.5921,82.42,76,96,9.13,light rain
340,Tommot,RU,58.9564,126.2925,26.15,90,99,5.14,light snow
341,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.78,74,5,18.97,clear sky
342,Ribeira Grande,PT,38.5167,-28.7,70.18,82,100,4.83,overcast clouds
343,Komsomolskiy,UZ,40.4272,71.7189,56.12,54,6,6.91,clear sky
344,Actopan,MX,20.2667,-98.9333,70.27,46,56,13.73,broken clouds
345,Nicoya,CR,10.1483,-85.452,83.1,80,75,3.15,broken clouds
346,Jacareacanga,BR,-6.2222,-57.7528,75.2,89,97,3.2,overcast clouds
