,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Sokoto,NG,82.56,clear sky,13.0609,5.239,Grand Ibro Hotel
388,Nampa,US,78.58,clear sky,43.5407,-116.5635,Nampa Downtown
392,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
393,Half Moon Bay,US,80.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
398,Paracuru,BR,80.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
405,Praia,CV,79.34,thunderstorm,14.9215,-23.5087,LT Aparthotel
410,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
420,San Felipe,VE,77.2,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
424,Myingyan,MM,79.0,overcast clouds,21.4667,95.3833,Yamethin
437,Kahului,US,79.97,light rain,20.8947,-156.47,Maui Seaside Hotel
443,Jacqueville,CI,76.5,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
444,Raipur,IN,77.04,overcast clouds,21.2333,81.6333,Le Roi Raipur Hotel
447,Salinopolis,BR,80.31,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
448,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
454,Mogadishu,SO,76.73,broken clouds,2.0371,45.3438,Hotel Juba
457,Kalmunai,LK,79.12,moderate rain,7.4167,81.8167,VS Villa
458,Winneba,GH,76.01,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
459,Bandarbeyla,SO,77.45,overcast clouds,9.4942,50.8122,JABIR HOTEL
462,Woodburn,US,83.32,clear sky,45.1437,-122.8554,Best Western Woodburn
463,Puerto Leguizamo,CO,83.55,overcast clouds,-0.1934,-74.7819,la casona de juancho
467,Labuhan,ID,77.32,broken clouds,-6.8844,112.2051,DoubleFAG
476,Surt,LY,76.78,overcast clouds,31.2089,16.5887,فندق المدينة
482,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
485,Anastacio,BR,80.31,clear sky,-20.4836,-55.8069,HOTEL ARARAS
486,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
487,Tahoua,NE,89.85,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
490,Santa Lucia Cotzumalguapa,GT,86.22,broken clouds,14.3333,-91.0167,Hotel y Restaurante Santiaguito
491,Vung Tau,VN,81.01,broken clouds,10.346,107.0843,Seaside Resort
